Date,Open,High,Low,Close,Adj Close,Volume
2018/4/1,6835.580078,8218.660156,6792.299805,7074.600098,7074.600098,748861435
2018/4/2,7074.649902,7528.970215,7039.879883,7434.299805,7434.299805,905326798
2018/4/3,7434.299805,7442.419922,6727.089844,6815.5,6815.5,877199782
2018/4/4,6815.5,6933.660156,6602.379883,6790.450195,6790.450195,777145174
2018/4/5,6790.450195,6869.529785,6526.669922,6634.859863,6634.859863,605651287
2018/4/6,6634.859863,7083.850098,6624.470215,6917.200195,6917.200195,564883141
2018/4/7,6917.200195,7132.029785,6911.02002,7049.919922,7049.919922,425825572
2018/4/8,7049.919922,7204.279785,6633.689941,6789.529785,6789.529785,901883664
2018/4/9,6789.529785,6922.839844,6676.720215,6871.069824,6871.069824,424510977
2018/4/10,6871.069824,6999.370117,6839.160156,6977.129883,6977.129883,450141340
2018/4/11,6977.040039,8051.950195,6791.330078,7927.72998,7927.72998,1490759969
2018/4/12,7927.72998,8237.160156,7758.799805,7899.109863,7899.109863,1171435820
2018/4/13,7898.740234,8195.339844,7841.189941,8022.509766,8022.509766,537286381
2018/4/14,8022.509766,8437.030273,8021.040039,8376.730469,8376.730469,570527804
2018/4/15,8376.730469,8430.929688,7929.240234,8079.77002,8079.77002,713471956
2018/4/16,8079.77002,8187.600098,7858.120117,7921.629883,7921.629883,580880500
2018/4/17,7921.649902,8246.570313,7908.919922,8189.959961,8189.959961,593500791
2018/4/18,8189.919922,8321.009766,8136.419922,8301.820313,8301.820313,602099034
2018/4/19,8301.820313,8945.139648,8243.490234,8877.080078,8877.080078,979994921
2018/4/20,8877.150391,9047.820313,8631.179688,8935.719727,8935.719727,829073400
2018/4/21,8935.849609,9043.980469,8788.44043,8823.360352,8823.360352,610183093
2018/4/22,8823.459961,9025.730469,8804.200195,8968.25,8968.25,553892335
2018/4/23,8967.860352,9741.910156,8957.679688,9655.769531,9655.769531,1276464750
2018/4/24,9657.69043,9765.230469,8757.05957,8873.620117,8873.620117,1779806222
2018/4/25,8873.570313,9315.129883,8669.379883,9282.120117,9282.120117,997427934
2018/4/26,9289.009766,9385.870117,8923.480469,8938.469727,8938.469727,758182407
2018/4/27,8938.469727,9435.900391,8892.519531,9351.469727,9351.469727,774111704
2018/4/28,9349.94043,9552.669922,9189.070313,9407.040039,9407.040039,640931911
2018/4/29,9407.349609,9459.80957,9133.599609,9248.450195,9248.450195,574099218
2018/4/30,9248.25,9251.660156,8851.099609,9077.280273,9077.280273,669555436
2018/5/2,9077.280273,9197.839844,8993.820313,9130.540039,9130.540039,389485536
